case_type,role,clip_uid,phase,within_phase_order,frame_index_in_trimmed_clip,archive_member,global_adjustment,local_adjustment
reference_sensitive,query,FINADivingWorldCup2021_Men10m_semifinal_r5::11,flight,1,44,FINADiving_MTL_256s/FINADivingWorldCup2021_Men10m_semifinal_r5/11/15978.jpg,none,False
reference_sensitive,query,FINADivingWorldCup2021_Men10m_semifinal_r5::11,flight,2,55,FINADiving_MTL_256s/FINADivingWorldCup2021_Men10m_semifinal_r5/11/15989.jpg,none,False
reference_sensitive,query,FINADivingWorldCup2021_Men10m_semifinal_r5::11,entry,0,76,FINADiving_MTL_256s/FINADivingWorldCup2021_Men10m_semifinal_r5/11/16010.jpg,none,False
reference_sensitive,query,FINADivingWorldCup2021_Men10m_semifinal_r5::11,entry,1,85,FINADiving_MTL_256s/FINADivingWorldCup2021_Men10m_semifinal_r5/11/16019.jpg,none,False
reference_sensitive,query,FINADivingWorldCup2021_Men10m_semifinal_r5::11,entry,2,94,FINADiving_MTL_256s/FINADivingWorldCup2021_Men10m_semifinal_r5/11/16028.jpg,none,False
reference_sensitive,reference,01::86,takeoff,0,5,FINADiving_MTL_256s/01/86/00130776.jpg,none,False
reference_sensitive,reference,01::86,takeoff,1,10,FINADiving_MTL_256s/01/86/00130781.jpg,none,False
reference_sensitive,reference,01::86,takeoff,2,15,FINADiving_MTL_256s/01/86/00130786.jpg,none,False
reference_sensitive,reference,01::86,flight,0,31,FINADiving_MTL_256s/01/86/00130802.jpg,none,False
reference_sensitive,reference,01::86,flight,1,40,FINADiving_MTL_256s/01/86/00130811.jpg,none,False
reference_sensitive,reference,01::86,flight,2,50,FINADiving_MTL_256s/01/86/00130821.jpg,none,False
reference_sensitive,reference,01::86,entry,0,69,FINADiving_MTL_256s/01/86/00130840.jpg,none,False
reference_sensitive,reference,01::86,entry,1,78,FINADiving_MTL_256s/01/86/00130849.jpg,none,False
reference_sensitive,reference,01::86,entry,2,86,FINADiving_MTL_256s/01/86/00130857.jpg,none,False
