clip_uid,official_split,analysis_role,event_family,action_type,difficulty,dive_score,open_set,reference_baseline,predicted_quality,phi_takeoff,occlusion_takeoff,duration_contribution_takeoff,phi_flight,occlusion_flight,duration_contribution_flight,phi_entry,occlusion_entry,duration_contribution_entry,top_phase,actual_max_intervention_phase,top_phase_intervention_match,targeted_intervention_effect,random_intervention_effect,reconstruction_error,scorer_alignment_error,phase_boundary_cosine,phase_boundary_top_match,reference_change_cosine,coalition_0,coalition_1,coalition_2,coalition_3,coalition_4,coalition_5,coalition_6,coalition_7,targeted_minus_random,targeted_effect,mean_nonselected_effect,strongest_nonselected_effect,loo_reconstruction_error
01::115,test,official_test,01,107b,3.0,67.5,False,8.395935,8.455427,0.016745249,0.012016296,0.019830703735351562,0.041281383,0.061816216,0.019830703735351562,0.0014654795,0.023244858,0.019830703735351562,flight,flight,True,0.06181621551513672,0.06181621551513672,0.0,1.862645149230957e-07,0.566916,0.5,0.008262472,8.395935,8.426823,8.426095,8.432182,8.385035,8.393611,8.443411,8.455427,0.0,0.06181621551513672,0.017630577087402344,0.023244857788085938,0.03758525848388672
01::117,test,official_test,01,6245d,3.6,81.0,False,7.4113235,7.0223565,0.18132646,0.18078852,-0.1296556790669759,0.0038097699,-0.006716728,-0.1296556790669759,-0.5741033,-0.5718894,-0.1296556790669759,entry,entry,True,0.5718894004821777,0.006716728210449219,0.0,1.7881393432617188e-07,0.962244,1.0,0.98069376,7.4113235,7.5868416,7.4193134,7.594246,6.82866,7.029073,6.841568,7.0223565,0.5651726722717285,0.5718894004821777,0.09375262260437012,0.18078851699829102,0.008850574493408203
01::118,test,official_test,01,307c,3.4,79.2,False,7.884573,8.239035,-0.021195412,-0.018699646,0.03938462999131944,0.10923195,0.11887264,0.11815388997395833,0.26642513,0.2778325,0.19692314995659724,entry,entry,True,0.2778325080871582,0.11887264251708984,0.0,9.685754776000977e-08,0.99366707,1.0,0.7525088,7.884573,7.8609595,7.984242,7.961202,8.139668,8.120162,8.257734,8.239035,0.15895986557006836,0.2778325080871582,0.0687861442565918,0.11887264251708984,0.023543834686279297
01::120,test,official_test,01,109c,3.7,77.7,False,7.116962,7.376102,0.6364061,0.98383427,0.057586669921875,0.41749564,0.69619656,0.11517333984375,-0.7947617,-0.46006203,0.0863800048828125,entry,takeoff,False,0.46006202697753906,0.9838342666625977,0.0,5.960464477539063e-08,0.94346714,0.5,0.9937203,7.116962,7.422963,7.27278,7.836164,6.0045238,6.6799054,6.3922677,7.376102,-0.5237722396850586,0.46006202697753906,0.8400154113769531,0.9838342666625977,0.9608287811279297
01::123,test,official_test,01,207b,3.6,91.8,False,8.213559,8.234047,0.011278947,0.0038166046,0.006829261779785156,0.00023492177,-0.0051546097,0.006829261779785156,0.008973916,0.00065898895,0.006829261779785156,takeoff,flight,False,0.0038166046142578125,0.0038166046142578125,0.0,4.3958425521850586e-07,0.29912978,0.0,-0.8702292,8.213559,8.232593,8.219476,8.233388,8.23114,8.239202,8.23023,8.234047,0.0,0.0038166046142578125,0.00290679931640625,0.005154609680175781,0.02116680145263672
01::126,test,official_test,01,307c,3.4,54.45,False,6.302386,6.5106854,0.3588271,0.38100576,0.06943321228027344,0.14540291,0.14505959,0.06943321228027344,-0.2959304,-0.2851014,0.06943321228027344,takeoff,takeoff,True,0.38100576400756836,0.14505958557128906,0.0,2.086162567138672e-07,0.9138253,0.0,0.7901333,6.302386,6.6504855,6.4595833,6.795787,6.0070777,6.365626,6.1296797,6.5106854,0.2359461784362793,0.38100576400756836,0.21508049964904785,0.28510141372680664,0.03266429901123047
01::131,test,official_test,01,207c,3.3,84.15,False,7.965949,8.42023,-0.02617065,-0.023566246,0.05047565036349826,-0.019423643,-0.014640808,0.15142695109049478,0.49987516,0.5004177,0.25237825181749135,entry,entry,True,0.5004177093505859,0.023566246032714844,0.0,2.8312206268310547e-07,0.9969451,1.0,0.980267,7.965949,7.93684,7.9414086,7.919812,8.464948,8.434871,8.443796,8.42023,0.4768514633178711,0.5004177093505859,0.019103527069091797,0.023566246032714844,0.007929801940917969
01::133,test,official_test,01,207c,3.3,66.0,False,5.7619767,6.1443973,0.22155873,0.25378895,0.042491171095106334,0.11336199,0.18168736,0.127473513285319,0.047499817,0.09424925,0.2124558554755317,takeoff,takeoff,True,0.25378894805908203,0.1816873550415039,0.0,1.7881393432617188e-07,0.87452024,0.5,0.7631264,5.7619767,5.963136,5.8188443,6.050148,5.774558,5.96271,5.8906083,6.1443973,0.07210159301757812,0.25378894805908203,0.1379683017730713,0.1816873550415039,0.14730501174926758
01::135,test,official_test,01,307c,3.4,74.25,False,7.3102202,7.4425716,0.21646015,0.21856499,0.044117132822672524,0.0559961,0.05835867,0.044117132822672524,-0.14010485,-0.12346935,0.044117132822672524,takeoff,takeoff,True,0.2185649871826172,0.12346935272216797,0.0,1.4901161193847656e-07,0.94182783,0.0,0.985436,7.3102202,7.5251594,7.3644376,7.566041,7.1540637,7.384213,7.2240067,7.4425716,0.09509563446044922,0.2185649871826172,0.09091401100158691,0.12346935272216797,0.0211029052734375
01::139,test,official_test,01,5253b,3.2,72.0,False,6.876245,7.052071,0.10314568,0.116654396,0.0390724605984158,0.003627618,-0.005988121,0.0781449211968316,0.06905278,0.058938503,0.058608690897623696,takeoff,takeoff,True,0.1166543960571289,0.05893850326538086,0.0,2.086162567138672e-07,0.3364073,0.0,-0.1783313,6.876245,6.969602,6.8932085,6.9931326,6.959132,7.058059,6.9354167,7.052071,0.05771589279174805,0.1166543960571289,0.03246331214904785,0.05893850326538086,0.006221294403076172
01::142,test,official_test,01,307c,3.4,64.35,False,5.3654013,5.2334976,-0.010835965,-0.064436436,-0.014655960930718316,0.45419565,0.4753499,-0.043967882792154946,-0.5752633,-0.5168381,-0.07327980465359159,entry,entry,True,0.5168380737304688,0.06443643569946289,0.0,2.384185791015625e-07,0.9782772,1.0,0.994675,5.3654013,5.400528,5.790805,5.7503357,4.724075,4.7581477,5.297934,5.2334976,0.45240163803100586,0.5168380737304688,0.26989316940307617,0.47534990310668945,0.025979042053222656
01::153,test,official_test,01,207b,3.6,81.0,False,7.5474544,7.247388,0.248926,0.24501657,-0.06668143802218966,0.088922344,-0.0057520866,-0.13336287604437932,-0.63791484,-0.69179344,-0.1000221570332845,entry,entry,True,0.6917934417724609,0.6917934417724609,0.0,2.086162567138672e-07,0.9647092,1.0,0.9949891,7.5474544,7.7833033,7.7140646,7.9391813,6.9464316,7.25314,7.0023713,7.247388,0.0,0.6917934417724609,0.12538433074951172,0.24501657485961914,0.15246248245239258
01::157,test,official_test,01,207b,3.6,39.6,False,4.769811,3.3785603,0.08182875,0.01292491,-0.3091668552822537,0.030586282,0.05687523,-0.3091668552822537,-1.5036659,-1.5977113,-0.7729171382056342,entry,entry,True,1.5977113246917725,1.5977113246917725,0.0,0.0,0.9993975,1.0,0.9975801,4.769811,4.916631,4.770196,4.9762716,3.3562782,3.321685,3.3656354,3.3785603,0.0,1.5977113246917725,0.03490006923675537,0.05687522888183594,0.13666033744812012
01::161,test,official_test,01,5255b,3.6,81.0,False,8.406971,8.403307,-0.03967333,-0.041175842,-0.001221338907877604,-0.011022091,-0.019136429,-0.001221338907877604,0.047031403,0.041070938,-0.001221338907877604,entry,takeoff,False,0.04107093811035156,0.04107093811035156,0.0,2.3096799850463867e-07,0.19482304,1.0,0.9826306,8.406971,8.368812,8.404075,8.362236,8.459974,8.422443,8.444483,8.403307,0.0,0.04107093811035156,0.03015613555908203,0.04117584228515625,0.015577316284179688
01::162,test,official_test,01,5255b,3.6,86.4,False,8.456636,8.403482,-0.052852154,-0.047067642,-0.011811998155381944,0.011873245,0.011153221,-0.023623996310763888,-0.012175083,-0.016082764,-0.017717997233072914,takeoff,takeoff,True,0.04706764221191406,0.016082763671875,0.0,2.7567148208618164e-07,0.5187626,0.0,0.16182062,8.456636,8.39756,8.46879,8.419565,8.447929,8.392329,8.45055,8.403482,0.030984878540039062,0.04706764221191406,0.013617992401123047,0.016082763671875,0.0011568069458007812
01::167,test,official_test,01,5253b,3.2,67.2,False,6.597143,6.992904,-0.028047642,-0.0029120445,0.043973445892333984,0.19729726,0.2182002,0.13192033767700195,0.2265114,0.23129797,0.21986722946166992,entry,entry,True,0.23129796981811523,0.23129796981811523,0.0,0.0,0.8960763,0.5,0.78496325,6.597143,6.540869,6.770447,6.761606,6.8157773,6.774704,6.995816,6.992904,0.0,0.23129796981811523,0.11055612564086914,0.2182002067565918,0.05082511901855469
01::169,test,official_test,01,5255b,3.6,84.6,False,7.5178194,7.3099217,0.12904565,0.14314413,-0.04619948069254557,-0.059666235,-0.065279484,-0.09239896138509114,-0.27727708,-0.29482698,-0.06929922103881836,entry,entry,True,0.2948269844055176,0.1431441307067871,0.0,2.086162567138672e-07,0.47845098,0.5,0.9988038,7.5178194,7.6335063,7.464506,7.6047487,7.258832,7.375201,7.1667776,7.3099217,0.15168285369873047,0.2948269844055176,0.10421180725097656,0.1431441307067871,0.009064674377441406
01::171,test,official_test,01,6243d,3.2,68.8,False,8.302944,8.264528,-0.0400486,-0.03959751,-0.01280530293782552,0.007071972,0.008591652,-0.01280530293782552,-0.0054392815,-0.0072746277,-0.01280530293782552,takeoff,takeoff,True,0.039597511291503906,0.008591651916503906,0.0,8.940696716308594e-08,0.4119981,0.0,-0.6888337,8.302944,8.262647,8.308699,8.271803,8.299542,8.255937,8.304126,8.264528,0.031005859375,0.039597511291503906,0.00793313980102539,0.008591651916503906,0.0001354217529296875
01::182,test,official_test,01,5255b,3.6,86.4,False,7.6151404,8.047489,-0.022396803,-0.022667885,0.048038747575547956,-0.055862904,-0.05919552,0.14411624272664386,0.51060843,0.51311684,0.24019373787773982,entry,entry,True,0.5131168365478516,0.022667884826660156,0.0,2.1606683731079102e-07,0.992233,1.0,0.9936556,7.6151404,7.5921183,7.5617137,7.5343723,8.122344,8.106685,8.070157,8.047489,0.4904489517211914,0.5131168365478516,0.04093170166015625,0.059195518493652344,0.0010952949523925781
02::5,test,official_test,02,407c,3.2,81.6,False,8.930854,8.992137,0.11924235,0.124209404,0.020427703857421875,-0.0061333976,-0.005988121,0.020427703857421875,-0.05182584,-0.051994324,0.020427703857421875,takeoff,takeoff,True,0.12420940399169922,0.12420940399169922,0.0,7.450580596923828e-09,0.8947664,1.0,0.64304465,8.930854,9.045808,8.925254,9.044131,8.879875,8.998125,8.867928,8.992137,0.0,0.12420940399169922,0.028991222381591797,0.05199432373046875,0.00494384765625
02::6,test,official_test,02,5253b,3.2,68.8,False,6.335665,6.2594357,0.12827842,0.081936836,-0.01693990495469835,0.0829064,0.0054421425,-0.0338798099093967,-0.2874144,-0.3601036,-0.025409857432047524,entry,entry,True,0.3601036071777344,0.3601036071777344,0.0,1.1920928955078125e-07,0.9930649,1.0,0.99399877,6.335665,6.4903784,6.476129,6.6195393,6.101033,6.2539935,6.177499,6.2594357,0.0,0.3601036071777344,0.04368948936462402,0.08193683624267578,0.19649505615234375
02::14,test,official_test,02,207c,3.3,85.8,False,8.765038,9.067904,0.0497729,0.038562775,0.06730376349555121,0.00285546,-0.012272835,0.13460752699110243,0.25023857,0.24727249,0.10095564524332681,entry,entry,True,0.24727249145507812,0.012272834777832031,0.0,3.8743019104003906e-07,0.9888858,1.0,0.9888413,8.765038,8.828496,8.785497,8.820632,9.020718,9.080177,9.029342,9.067904,0.2349996566772461,0.24727249145507812,0.025417804718017578,0.038562774658203125,0.02930450439453125
02::18,test,official_test,02,407c,3.2,89.6,False,8.758798,8.830875,0.11965084,0.13306999,0.024025917053222656,-0.024876118,-0.011006355,0.024025917053222656,-0.022696972,-0.019720078,0.024025917053222656,takeoff,takeoff,True,0.1330699920654297,0.011006355285644531,0.0,1.4901161193847656e-08,0.5417924,0.5,0.93045956,8.758798,8.866135,8.721157,8.850595,8.734229,8.841882,8.697805,8.830875,0.12206363677978516,0.1330699920654297,0.015363216400146484,0.019720077514648438,0.03026580810546875
02::19,test,official_test,02,407c,3.2,86.4,False,8.189712,8.571551,-0.022311846,-0.028831482,0.04242663913302951,0.09783777,0.095929146,0.12727991739908853,0.30631384,0.31247425,0.21213319566514757,entry,entry,True,0.31247425079345703,0.09592914581298828,0.0,7.450580596923828e-09,0.957623,1.0,0.8952706,8.189712,8.175022,8.290561,8.259077,8.490968,8.475622,8.600383,8.571551,0.21654510498046875,0.31247425079345703,0.062380313873291016,0.09592914581298828,0.0022678375244140625
02::26,test,official_test,02,5255b,3.6,86.4,False,7.8438854,7.7290735,0.09481224,0.09526634,-0.03827063242594401,-0.036785048,-0.03793478,-0.03827063242594401,-0.17283909,-0.17434692,-0.03827063242594401,entry,entry,True,0.174346923828125,0.03793478012084961,0.0,8.568167686462402e-08,0.8858345,1.0,0.9771339,7.8438854,7.9379144,7.807921,7.9034204,7.672225,7.7670083,7.633807,7.7290735,0.1364121437072754,0.174346923828125,0.06660056114196777,0.09526634216308594,0.0022034645080566406
02::27,test,official_test,02,407c,3.2,75.2,False,7.8260937,8.078119,0.07626343,0.06847286,0.02800284491644965,0.04719329,0.037955284,0.08400853474934895,0.12856889,0.13055182,0.14001422458224827,entry,entry,True,0.13055181503295898,0.13055181503295898,0.0,4.544854164123535e-07,0.8571377,0.5,0.94737357,7.8260937,7.9116473,7.8840246,7.9475675,7.9541793,8.040164,8.009646,8.078119,0.0,0.13055181503295898,0.053214073181152344,0.06847286224365234,0.015045642852783203
02::42,test,official_test,02,626c,3.3,69.3,False,7.7561946,7.6417694,0.21447642,0.21259022,-0.038141727447509766,-0.06096403,-0.074248314,-0.038141727447509766,-0.26793757,-0.27345467,-0.038141727447509766,entry,entry,True,0.2734546661376953,0.0742483139038086,0.0,1.1920928955078125e-07,0.8883995,0.5,0.957541,7.7561946,7.97106,7.7070174,7.915224,7.4922767,7.7160177,7.429179,7.6417694,0.19920635223388672,0.2734546661376953,0.1434192657470703,0.21259021759033203,0.020687580108642578
02::46,test,official_test,02,407c,3.2,86.4,False,8.986143,9.070222,0.15661764,0.1587677,0.01868417527940538,-0.028876305,-0.03083992,0.03736835055881076,-0.043662548,-0.049059868,0.02802626291910807,takeoff,takeoff,True,0.1587677001953125,0.04905986785888672,0.0,2.4586915969848633e-07,0.78839266,0.5,0.44795227,8.986143,9.137699,8.956319,9.119282,8.944966,9.101062,8.911454,9.070222,0.10970783233642578,0.1587677001953125,0.039949893951416016,0.04905986785888672,0.00521087646484375
02::61,test,official_test,02,307c,3.4,84.15,False,8.26034,8.282772,0.023253918,0.017303467,0.007477442423502604,0.016881466,0.010813713,0.007477442423502604,-0.017703056,-0.015500069,0.007477442423502604,takeoff,takeoff,True,0.017303466796875,0.015500068664550781,0.0,3.203749656677246e-07,0.5908105,0.0,0.7882862,8.26034,8.2889595,8.282704,8.298272,8.239849,8.271958,8.265469,8.282772,0.0018033981323242188,0.017303466796875,0.013156890869140625,0.015500068664550781,0.009815216064453125
02::66,test,official_test,02,207c,3.3,89.1,False,8.79686,9.12709,0.07605711,0.0772953,0.110076904296875,0.005103747,0.0036268234,0.110076904296875,0.24906985,0.2525921,0.110076904296875,entry,entry,True,0.2525920867919922,0.0036268234252929688,0.0,3.5762786865234375e-07,0.99803895,1.0,0.9985049,8.79686,8.876935,8.808697,8.874498,9.047664,9.123464,9.049795,9.12709,0.24896526336669922,0.2525920867919922,0.040461063385009766,0.07729530334472656,0.0032835006713867188
02::67,test,official_test,02,6245d,3.6,81.0,False,7.1720915,6.9368587,0.26340684,0.31446314,-0.07841094334920247,0.23277791,0.27315617,-0.07841094334920247,-0.7314176,-0.6619506,-0.07841094334920247,entry,entry,True,0.6619505882263184,0.31446313858032227,0.0,1.1920928955078125e-07,0.94437003,1.0,0.9505853,7.1720915,7.404473,7.384522,7.5988092,6.3912377,6.6637025,6.6223955,6.9368587,0.3474874496459961,0.6619505882263184,0.2938096523284912,0.31446313858032227,0.16090154647827148
02::69,test,official_test,02,207b,3.6,86.4,False,8.166348,8.342729,-0.021012941,-0.025813103,0.058793385823567704,0.051822025,0.042099953,0.058793385823567704,0.14557107,0.1446991,0.058793385823567704,entry,entry,True,0.1446990966796875,0.1446990966796875,0.0,3.0547380447387695e-07,0.57548827,0.5,0.8124013,8.166348,8.151117,8.228874,8.1980295,8.313773,8.300629,8.368542,8.342729,0.0,0.1446990966796875,0.03395652770996094,0.042099952697753906,0.015394210815429688
02::86,test,official_test,02,307c,3.4,89.1,False,8.31865,8.4957905,0.07835039,0.065130234,0.05904674530029297,-0.007194678,-0.0015621185,0.05904674530029297,0.10598453,0.1020174,0.05904674530029297,entry,entry,True,0.10201740264892578,0.0015621185302734375,0.0,2.1606683731079102e-07,0.033489704,0.0,-0.1913192,8.31865,8.408013,8.303616,8.393773,8.426394,8.497353,8.43066,8.4957905,0.10045528411865234,0.10201740264892578,0.03334617614746094,0.06513023376464844,0.011554718017578125
02::89,test,official_test,02,6245d,3.6,75.6,False,7.9500656,7.680275,0.08459171,0.10395908,-0.05995347764756944,-0.053458374,-0.060056686,-0.11990695529513888,-0.30092397,-0.30402708,-0.08993021647135416,entry,entry,True,0.30402708053588867,0.30402708053588867,0.0,8.940696716308594e-08,0.9800997,1.0,0.8854742,7.9500656,8.016645,7.904561,7.984302,7.6536,7.7403316,7.576316,7.680275,0.0,0.30402708053588867,0.08200788497924805,0.1039590835571289,0.009665966033935547
02::97,test,official_test,02,5255b,3.6,91.8,False,7.9690833,8.499397,0.03354025,0.026693344,0.05892377429538303,0.095286846,0.07588005,0.17677132288614908,0.40148687,0.3832798,0.2946188714769152,entry,entry,True,0.38327980041503906,0.38327980041503906,0.0,4.544854164123535e-07,0.9871098,1.0,0.4864263,7.9690833,8.009185,8.083491,8.1161175,8.388492,8.423517,8.472704,8.499397,0.0,0.38327980041503906,0.05128669738769531,0.07588005065917969,0.04446077346801758
