clip_uid,feature_key,source,instance,event_family,official_split,action_type,action_group,difficulty,dive_score,execution_quality,judge_count,judge_scores_json,start_frame,end_frame,frame_count,transition_frames_json,frame_labels_json,subactions_json,splash_path,splash_exists,analysis_role,source_role,judge_label_valid,judge_invalid_reason,judge_consensus_median,judge_sample_sd,judge_pairwise_abs,judge_official_aggregate,judge_aggregate_abs_error,disagreement_primary_eligible,disagreement_supplemental_eligible
01::56,8a494064bcb0cf641be1,01,56,01,test,407b,4,3.5,71.75,6.833333333333333,7,"[6.0,7.0,7.0,6.5,7.0,6.5,7.0]",84856,84940,85,"[1,35]","[4,4,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""17"":""3.5 Soms.Pike"",""36"":""Entry"",""4"":""Inward""}",D:\code\papers\data\datasets\splash_data\01\56.pkl,True,official_test,source_fit,True,valid,7.0,0.39339789623472154,0.42857142857142855,6.833333333333333,0.0,True,False
01::66,fea8d517022c179d1cab,01,66,01,test,207b,2,3.6,100.8,9.333333333333332,7,"[9.0,9.0,9.0,9.5,9.5,10.0,9.5]",100022,100109,88,"[6,45]","[2,2,2,2,2,2,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""17"":""3.5 Soms.Pike"",""2"":""Back"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\66.pkl,True,official_test,source_fit,True,valid,9.5,0.37796447300922725,0.42857142857142855,9.333333333333334,1.7763568394002505e-15,True,False
01::68,703a03d56d85cf2227de,01,68,01,test,109c,1,3.7,83.25,7.499999999999999,7,"[7.5,8.0,8.0,7.0,7.5,7.0,7.5]",102635,102752,118,"[35,75]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""27"":""4.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\68.pkl,True,official_test,source_fit,True,valid,7.5,0.408248290463863,0.47619047619047616,7.5,8.881784197001252e-16,True,False
01::74,54cdc7312f0ef4af832c,01,74,01,test,6245d,6,3.6,57.6,5.333333333333333,7,"[5.0,6.0,5.5,4.5,4.5,5.5,6.0]",112215,112356,142,"[67,93,103]","[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,14,14,14,14,14,14,14,14,14,14,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""14"":""2 Soms.Pike"",""33"":""2.5 Twists"",""36"":""Entry"",""6"":""Arm.Back""}",D:\code\papers\data\datasets\splash_data\01\74.pkl,True,official_test,source_fit,True,valid,5.5,0.6362090102803518,0.7619047619047619,5.333333333333333,0.0,True,False
01::77,6ca9de9133ddff3c800f,01,77,01,test,626c,6,3.3,75.9,7.666666666666669,7,"[7.5,8.0,6.5,7.0,7.5,8.0,8.0]",117120,117232,113,"[39,67]","[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""24"":""3 Soms.Tuck"",""36"":""Entry"",""6"":""Arm.Back""}",D:\code\papers\data\datasets\splash_data\01\77.pkl,True,official_test,source_fit,True,valid,7.5,0.5773502691896257,0.6666666666666666,7.666666666666667,1.7763568394002505e-15,True,False
01::80,4e4489f6f6a121f45f01,01,80,01,test,207c,2,3.3,64.35,6.5,7,"[6.5,7.0,6.5,6.0,6.5,7.0,6.5]",121530,121622,93,"[7,47]","[2,2,2,2,2,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""2"":""Back"",""25"":""3.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\80.pkl,True,official_test,source_fit,True,valid,6.5,0.34503277967117707,0.38095238095238093,6.5,0.0,True,False
01::90,50678d9d9d913b283305,01,90,01,test,307c,3,3.4,94.05,9.220588235294118,7,"[9.5,9.0,9.0,9.5,10.0,9.5,9.5]",136328,136433,106,"[27,69]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\90.pkl,True,official_test,source_fit,True,valid,9.5,0.34503277967117707,0.38095238095238093,9.5,0.27941176470588225,True,False
01::100,6043961f3d3e70aa8eb2,01,100,01,test,307c,3,3.4,74.25,7.279411764705883,7,"[7.5,7.5,7.5,7.5,7.5,7.5,7.5]",152497,152602,106,"[12,52]","[3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\100.pkl,True,official_test,source_fit,True,valid,7.5,0.0,0.0,7.5,0.22058823529411686,True,False
01::102,1feeeba60e8d248a24ac,01,102,01,test,207c,2,3.3,37.95,3.8333333333333344,7,"[3.5,4.0,5.0,3.5,4.5,4.0,3.5]",155353,155468,116,"[27,71]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""2"":""Back"",""25"":""3.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\102.pkl,True,official_test,source_fit,True,valid,4.0,0.5773502691896257,0.6666666666666666,3.8333333333333335,8.881784197001252e-16,True,False
01::103,5eeb75f1d8bddea11047,01,103,01,test,6243d,6,3.2,64.0,6.666666666666666,7,"[7.0,6.5,7.0,6.5,7.0,6.0,6.5]",157176,157291,116,"[35,63,74]","[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,14,14,14,14,14,14,14,14,14,14,14,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""14"":""2 Soms.Pike"",""31"":""1.5 Twists"",""36"":""Entry"",""6"":""Arm.Back""}",D:\code\papers\data\datasets\splash_data\01\103.pkl,True,official_test,source_fit,True,valid,6.5,0.37796447300922725,0.42857142857142855,6.666666666666667,8.881784197001252e-16,True,False
01::115,bfa81c740fdde6772297,01,115,01,test,107b,1,3.0,67.5,7.5,7,"[7.5,7.5,7.5,7.5,7.5,7.0,7.5]",174946,175060,115,"[40,80]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""17"":""3.5 Soms.Pike"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\115.pkl,True,official_test,source_fit,True,valid,7.5,0.1889822365046136,0.14285714285714285,7.5,0.0,True,False
01::117,7f7f83bd8b0fba1d1957,01,117,01,test,6245d,6,3.6,81.0,7.499999999999999,7,"[7.5,7.5,7.5,7.0,7.0,8.0,7.5]",178154,178272,119,"[43,69,78]","[6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,14,14,14,14,14,14,14,14,14,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""14"":""2 Soms.Pike"",""33"":""2.5 Twists"",""36"":""Entry"",""6"":""Arm.Back""}",D:\code\papers\data\datasets\splash_data\01\117.pkl,True,official_test,source_fit,True,valid,7.5,0.34503277967117707,0.38095238095238093,7.5,8.881784197001252e-16,True,False
01::118,93f520e56695ddacb13f,01,118,01,test,307c,3,3.4,79.2,7.764705882352942,7,"[8.0,8.0,7.5,8.0,8.0,8.5,8.0]",179761,179859,99,"[11,51]","[3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\118.pkl,True,official_test,source_fit,True,valid,8.0,0.28867513459481287,0.2857142857142857,8.0,0.235294117647058,True,False
01::120,5af2da74ad40ba777755,01,120,01,test,109c,1,3.7,77.7,6.999999999999999,7,"[7.0,7.0,6.5,7.0,7.5,7.0,6.5]",182425,182555,131,"[36,76]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""1"":""Forward"",""27"":""4.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\120.pkl,True,official_test,source_fit,True,valid,7.0,0.34503277967117707,0.38095238095238093,7.0,8.881784197001252e-16,True,False
01::123,52f0017bbb9c361937a0,01,123,01,test,207b,2,3.6,91.8,8.5,7,"[8.5,8.5,9.0,8.5,8.5,9.0,8.5]",186519,186634,116,"[35,79]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""17"":""3.5 Soms.Pike"",""2"":""Back"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\123.pkl,True,official_test,source_fit,True,valid,8.5,0.2439750182371333,0.23809523809523808,8.5,0.0,True,False
01::126,20a6675c5cbc6f242466,01,126,01,test,307c,3,3.4,54.45,5.338235294117648,7,"[5.5,5.5,4.5,5.5,6.5,5.5,6.0]",190867,190988,122,"[35,75]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\126.pkl,True,official_test,source_fit,True,valid,5.5,0.6074928962939559,0.6666666666666666,5.5,0.16176470588235237,True,False
01::131,f483efe6018ce385554c,01,131,01,test,207c,2,3.3,84.15,8.500000000000002,7,"[9.0,8.5,8.5,8.5,8.5,8.5,8.5]",199581,199676,96,"[11,48]","[2,2,2,2,2,2,2,2,2,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""2"":""Back"",""25"":""3.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\131.pkl,True,official_test,source_fit,True,valid,8.5,0.18898223650461357,0.14285714285714285,8.5,1.7763568394002505e-15,True,False
01::133,9fe10f90f04a7ca36b10,01,133,01,test,207c,2,3.3,66.0,6.666666666666668,7,"[7.0,6.5,6.5,7.0,6.5,7.0,6.5]",202334,202438,105,"[7,47]","[2,2,2,2,2,2,2,2,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""2"":""Back"",""25"":""3.5 Soms.Tuck"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\133.pkl,True,official_test,source_fit,True,valid,6.5,0.2672612419124244,0.2857142857142857,6.666666666666667,8.881784197001252e-16,True,False
01::135,d8e6c776c10a463fa353,01,135,01,test,307c,3,3.4,74.25,7.279411764705883,7,"[7.5,7.0,7.5,7.5,7.5,7.5,7.0]",205506,205632,127,"[39,75]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36]","{""25"":""3.5 Soms.Tuck"",""3"":""Reverse"",""36"":""Entry""}",D:\code\papers\data\datasets\splash_data\01\135.pkl,True,official_test,source_fit,True,valid,7.5,0.24397501823713327,0.23809523809523808,7.5,0.22058823529411686,True,False
